"perf_metric","perf_metric_diff","pvalue","names","method","perf_metric_name","seed"
1,0,1,"V1491","glmnet","AUC",NA
1,0,1,"V1492","glmnet","AUC",NA
1,0,1,"V1493","glmnet","AUC",NA
1,0,1,"V1494","glmnet","AUC",NA
1,0,1,"V1495","glmnet","AUC",NA
1,0,1,"V1496","glmnet","AUC",NA
1,0,1,"V1497","glmnet","AUC",NA
1,0,1,"V1498","glmnet","AUC",NA
1,0,1,"V1499","glmnet","AUC",NA
1,0,1,"V15","glmnet","AUC",NA
1,0,1,"V150","glmnet","AUC",NA
1,0,1,"V1500","glmnet","AUC",NA
1,0,1,"V1501","glmnet","AUC",NA
1,0,1,"V1502","glmnet","AUC",NA
1,0,1,"V1503","glmnet","AUC",NA
1,0,1,"V1504","glmnet","AUC",NA
1,0,1,"V1505","glmnet","AUC",NA
1,0,1,"V1506","glmnet","AUC",NA
1,0,1,"V1507","glmnet","AUC",NA
1,0,1,"V1508","glmnet","AUC",NA
1,0,1,"V1509","glmnet","AUC",NA
1,0,1,"V151","glmnet","AUC",NA
1,0,1,"V1510","glmnet","AUC",NA
1,0,1,"V1511","glmnet","AUC",NA
1,0,1,"V1512","glmnet","AUC",NA
1,0,1,"V1513","glmnet","AUC",NA
1,0,1,"V1514","glmnet","AUC",NA
1,0,1,"V1515","glmnet","AUC",NA
1,0,1,"V1516","glmnet","AUC",NA
1,0,1,"V1517","glmnet","AUC",NA
1,0,1,"V1518","glmnet","AUC",NA
1,0,1,"V1519","glmnet","AUC",NA
1,0,1,"V152","glmnet","AUC",NA
1,0,1,"V1520","glmnet","AUC",NA
1,0,1,"V1521","glmnet","AUC",NA
1,0,1,"V1522","glmnet","AUC",NA
1,0,1,"V1523","glmnet","AUC",NA
1,0,1,"V1524","glmnet","AUC",NA
1,0,1,"V1525","glmnet","AUC",NA
1,0,1,"V1526","glmnet","AUC",NA
1,0,1,"V1527","glmnet","AUC",NA
1,0,1,"V1528","glmnet","AUC",NA
1,0,1,"V1529","glmnet","AUC",NA
1,0,1,"V153","glmnet","AUC",NA
1,0,1,"V1530","glmnet","AUC",NA
1,0,1,"V1531","glmnet","AUC",NA
1,0,1,"V1532","glmnet","AUC",NA
1,0,1,"V1533","glmnet","AUC",NA
1,0,1,"V1534","glmnet","AUC",NA
1,0,1,"V1535","glmnet","AUC",NA
1,0,1,"V1536","glmnet","AUC",NA
1,0,1,"V1537","glmnet","AUC",NA
1,0,1,"V1538","glmnet","AUC",NA
1,0,1,"V1539","glmnet","AUC",NA
